business_id,name,full_address,city,state,latitude,longitude,review_count
JwUE5GmEO-sH1FuwJgKBlQ,Pine Cone Restaurant,"6162 US Highway 51
De Forest, WI 53532",De Forest,WI,43.238893,-89.335844,26
uGykseHzyS5xAMWoN6YUqA,Deforest Family Restaurant,"505 W North St
De Forest, WI 53532",De Forest,WI,43.252267,-89.353437,16
LRKJF43s9-3jG9Lgx4zODg,Culver's,"4910 County Rd V
De Forest, WI 53532",De Forest,WI,43.251045,-89.374983,7
RgDg-k9S5YD_BaxMckifkg,Chang Jiang Chinese Kitchen,"631 S Main St
De Forest, WI 53532",De Forest,WI,43.2408748,-89.3437217,3
rdAdANPNOcvUtoFgcaY9KA,Green Lantern Restaurant,"4412 Siggelkow Rd
Mc Farland, WI 53558",Mc Farland,WI,43.0256436,-89.3061344,33
_wZTYYL7cutanzAnJUTGMA,Beach House Restaurant & Lounge,"4506 Larson Beach Rd
Mc Farland, WI 53558",Mc Farland,WI,43.017701,-89.303789,31
zOc8lbjViUZajbY7M0aUCQ,Spartan Pizza,"5813 Main St
Mc Farland, WI 53558",Mc Farland,WI,43.014164,-89.288567,4
UgjVZTSOaYoEvws_lAP_Dw,Main Moon Chinese Restaurant,"4850 Larson Beach Rd
Mc Farland, WI 53558",Mc Farland,WI,43.0179387,-89.2986278,8
SKLw05kEIlZcpTD5pqma8Q,Imperial Garden Chinese Restaurant,"2039 Allen Blvd
Middleton, WI 53562",Middleton,WI,43.090642,-89.485169,41
77ESrCo7hQ96VpCWWdvoxg,Mi Cocina,"6230 University Ave
Middleton, WI 53562",Middleton,WI,43.0910607,-89.4874867,17
KTqNU4plO23583DYAMGXYg,Domino's Pizza,"2411 Allen Blvd
Middleton, WI 53562",Middleton,WI,43.1003841,-89.4862189,3
MKsb2VpLB-0UBODcInDsSw,China Wok Buffet,"6913 University Ave
Middleton, WI 53562",Middleton,WI,43.0970483,-89.5006856,12
ShEYKerTwb2LSORE5o_s7A,Prairie Cafe & Bakery,"6720 Frank Lloyd Wright Ave
Middleton, WI 53562",Middleton,WI,43.107227,-89.496995,38
HaBkx5PwvbBpQ2iNCgHnVQ,Paul's Neighborhood Bar,"2401 Parmenter St
Middleton, WI 53562",Middleton,WI,43.1014598,-89.5111616,11
KW6HejC-67KSL9J8Cz1dSw,Chin's Asia Fresh,"8414 Old Sauk Rd
Middleton, WI 53562",Middleton,WI,43.0753452677,-89.5284801808,28
wl-7A4jC0f27MOEmW-XTbQ,Grand China Restaurant,"2608 Allen Blvd
Middleton, WI 53562",Middleton,WI,43.1036633,-89.4864907,6
suQyHycqv8nA7EualcUB3g,Dennys,"8302 Greenway Blvd
Middleton, WI 53562",Middleton,WI,43.0905631,-89.5241674,5
uga5g16PncJOtY7Sc3A05w,McDonald's,"8308 Greenway Blvd
Middleton, WI 53562",Middleton,WI,43.090653,-89.5250779,6
xbJ9tdGbcVJIUkNgHSCwZQ,Hody Bar & Grill,"1914 Aurora St
Middleton, WI 53562",Middleton,WI,43.095696,-89.5128222,10
koRLvzIl-4fCybOIdk56jA,Louisianne's Etc,"7464 Hubbard Ave
Middleton, WI 53562",Middleton,WI,43.0955526,-89.5110574,56
cruBFtsFaBuhX_I72uU8pA,Papa John's Pizza,"6615 University Ave
Middleton, WI 53562",Middleton,WI,43.0955472,-89.4949208,3
X47o6R2rWiqGqvBtC7VS3Q,Three Sisters Old Town Inn,"2227 Parmenter St
Middleton, WI 53562",Middleton,WI,43.0999335,-89.511243,19
lN-5-YTsaJr_IByyA476iw,Middleton Sport Bowl,"6815 University Ave
Middleton, WI 53562",Middleton,WI,43.0969474,-89.4997902,10
IEmqrFe96NOhU07TA0rZdw,Stamm House At Pheasant Branch,"6625 Century Ave
Middleton, WI 53562",Middleton,WI,43.104535,-89.4944219,7
KFJ1jBfFkRfyn3AoAUl3YQ,Hardee's,"3311 W Beltline Hwy
Middleton, WI 53562",Middleton,WI,43.0976883,-89.5160417,5
G1qUGBNYNS220jKlPAlFsA,The Village Green Bar & Grill,"7508 Hubbard Ave
Middleton, WI 53562",Middleton,WI,43.095724,-89.5120419,34
6oDZ78JiSKjXVLcurCpnhw,Nitty Gritty Restaurant & Bar,"1021 N Gammon Rd
Middleton, WI 53562",Middleton,WI,43.0844596,-89.5021602,16
kiAsweI4sOjDzGyz3Y_HsQ,Culver's,"2906 Parmenter St
Middleton, WI 53562",Middleton,WI,43.1062742,-89.5113122,12
q8fD82us6uuGufvI44NoAg,Vin Santo,"7462 Hubbard Ave
Middleton, WI 53562",Middleton,WI,43.0955423,-89.5109658,53
oc0rCahXOaJeHLzzDdSfyA,Soup Factory,"1901 Cayuga St
Middleton, WI 53562",Middleton,WI,43.096359,-89.513737,3
Nj0vQjUYjaa7qbvZlEr2jQ,Club Tavern & Grille,"1915 Branch St
Middleton, WI 53562",Middleton,WI,43.0968907,-89.4949394,16
B0Vuwn6Hugc-0U5n31YBfg,C's Restaurant Bakery and Coffee Shop,"2550 Allen Blvd
Middleton, WI 53562",Middleton,WI,43.102896,-89.48674,15
3zD6rxB92Mr0jb-LoYFFWw,Burger King,"822 Windsor St
Sun Prairie, WI 53590",Sun Prairie,WI,43.1876921,-89.2275279,14
OC8AUJshLVimn_-P_INvJw,Pizza Pit,"330 W Main St
Sun Prairie, WI 53590",Sun Prairie,WI,43.1832772,-89.2185271,4
2pmMehsVKnwhgWPSOxrkjA,Panda Garden,"922 Windsor St
Sun Prairie, WI 53590",Sun Prairie,WI,43.1876509,-89.2287907,8
NDAxF0_RCZBQedVO_d5WnA,Chang Jiang,"984 W Main St
Sun Prairie, WI 53590",Sun Prairie,WI,43.1807862,-89.2304766,9
eptljN50_4BpIwc2Op_A_A,Deli Roma,"1632 W Main St
Sun Prairie, WI 53590",Sun Prairie,WI,43.1783069,-89.241085,20
Xp7OA8gz7zDgB3I54jyb4g,SIR Hobo's,"710 W Main St
Sun Prairie, WI 53590",Sun Prairie,WI,43.1822682,-89.2255538,20
5uxhIGZlJm9g_zfG_83z5Q,Peking Chinese Restaurant,"2091 McCoy Rd
Sun Prairie, WI 53590",Sun Prairie,WI,43.1753813,-89.2482454,6
